306|appseed-projects|108557|20|Constanţa|14|Romania|RO
307|HaiShaw|107649|27|San Francisco|CA|United States|US
308|Alexander-Hjelm|107646|52|Stockholm|26|Sweden|SE
309|tomaarsen|107348.5|45||||
310|penguine-ip|106998|32||||
311|slaren|106686|34||||
312|moogacs|106439.5|28||||
313|lvwerra|105793|48||||
314|xiaofan-luan|105626.5|59||||
315|sjrl|105436.5|46||||
316|yanliang567|104606.5|60||||
317|sapphi-red|104556|63||||
318|lkuligin|104484|36||||
319|zhuwenxing|103956|58||||
320|dmontagu|103926.5|17||||
321|OlivierDehaene|103777|35|||France|FR
322|tomerqodo|103659.5|4||||
323|xenova|103508|43||||
324|Axolotl1622|103380|9||||
325|bhancockio|103147.5|16||||
326|eddyxu|102143|37||||
327|mariosasko|102066|48||||
328|fcogithub|101942|1||||
329|lorenzejay|101771|28||||
330|rahul-tuli|101604|31||||
331|kishanprmr|101298.5|33||||
332|hanouticelina|101221|24||||
333|prmeyn|101110|33||||
334|KuntaiDu|101069|25|Chicago|IL|United States|US
335|hntrl|100852|36||||
336|databyjp|100711|42||||
337|cmfgerrit|100619|25||||
338|chaunceyjiang|99995|17||||
339|houseroad|99975|17||||
340|ch-wan|99255|14||||
341|bigPYJ1151|98908|31||||
342|lymanjre|98623|28||||
343|conda-forge-admin|98472.5|36||||
344|hsliuustc0106|98383|9||||
345|alihaider443|98317.5|15||||
346|neubig|98249.5|26||||
347|mikem8361|97927|60||||
348|YoniItzhak|97594|6||||
349|isahers1|97269|19||||
350|julian-risch|97122|62||||
351|vivekprm|97067.5|53||||
352|vincentgood1988|96656|1||||
353|Xunzhuo|96083.5|18||||
354|yhmo|95828|63||||
355|trkhoi|95160|24||||
356|BruceMacD|94748.5|37|San Francisco|CA|United States|US
357|samuelcolvin|94654.5|18||||
358|langchain-infra|94498.5|31||||
359|dev2049|93424|6||||
360|kaplanyaniv|93271.5|32||||
361|tdoublep|92978|27||||
362|prmichaelsen|92541|44||||
363|YumeT023|92533|12|||Madagascar|MG
364|lucasgomide|92478.5|14||||
365|TSHHaider|92475|13||||
366|xiaocai2333|92256|61||||
367|asukaminato0721|92251|19|Tokyo|40|Japan|JP
368|erikbern|92042|42||||
369|simoninithomas|91882|43||||
370|jsbroks|91838|21||||
371|kaku-highball-village-tree|91819|4||||
372|benjamincburns|91403.5|14|Christchurch|E9|New Zealand|NZ
373|horheynm|91274.5|14||||
374|ganyi1996ppo|91199|25||||
375|yuan-luo|90517|13||||
376|Hongyi-Yan0632|89621|1||||
377|ptillet|89480|22||||
378|JadeCong|89411.5|34|Shenzhen|30|China|CN
379|b8zhong|89404|14||||
380|ankane|89050.5|60|San Francisco|CA|United States|US
381|AhsanMubarak|88931.5|9||||
382|agola11|88550.5|34|San Francisco|CA|United States|US
383|manusa|88479.5|20||||
384|u-n-s-t-o-p-p-a-b-l-e|88400|9||||
385|christian-bromann|87952.5|13|San Francisco|CA|United States|US
386|ByronHsu|87629|25|San Jose|CA|United States|US
387|tmc|87569.5|33||||
388|yah01|87182|31||||
389|jkremser|87069.5|24||||
390|fridim|86759|63||||
391|russo11211|86206|3||||
392|pprmint|85970|55||||
393|westonpace|85923|32||||
394|masci|85680.5|32||||
395|libinta|85220|48||||
396|rbren|85199|22||||
397|AndreaFrancis|84942|27|Cochabamba|02|Bolivia|BO
398|MohammadIqbalAD-NHS|84890|21||||
399|Vaibhavs10|84501.5|45||||
400|Xioto-ytb|84332.5|13||||
401|robinjhuang|84295.5|28||||
402|Alexei-V-Ivanov-AMD|83880|26||||
403|toshi21a|83671|1||||
404|CODGODMW|83457.5|13||||
405|jahraphael|83455.5|63||||
406|ufewew|83300|2||||
407|lyzno1|83142.5|10||||
408|appseed-projects2|83125|20|Constanţa|14|Romania|RO
409|chrisbloe-nhse|82935|20||||
410|strawgate|82838|12||||
411|baonudesifeizhai|82816.5|10||||
412|yiliu30|82813.5|37||||
413|comfyanonymous|82777|40||||
414|pcmoritz|82746|13||||
415|leo-gan|82272|28||||
416|DealToDeath|81550|2||||
417|Bug-Hunter-X|81077.5|3||||
418|vowelparrot|80477|6||||
419|JohannesGaessler|80405|39|Karlsruhe|01|Germany|DE
420|AllenWriter|80251.5|14||||
421|yizhang2077|80011|25||||
422|silvanocerza|79678|26||||
423|greysonlalonde|79591|16||||
424|weiliu1031|79577|45||||
425|huakim|79155|4||||
426|qubvel|78760|24||||
427|hlky|77759|28||||
428|mabuaisha|77731.5|6||||
429|cadedaniel|77585|20|San Francisco|CA|United States|US
430|shahules786|77481.5|38||||
431|mwaskom|77424|29||||
432|drbh|77393|42||||
433|malhotra5|76964|18||||
434|williamberman|76594|20||||
435|ruisearch42|76414|20||||
436|coszio|76245|39||||
437|hiddify|76153|11||||
438|akiojin|76081.5|12|Kyoto|22|Japan|JP
439|Iam54r1n4|75838|18||||
440|czhu15|75790|16||||
441|Ali-Razmjoo|75710.5|18|Stockholm|26|Sweden|SE
442|arteymix|75589|61|Vancouver|02|Canada|CA
443|lnhsingh|75156|12||||
444|NathanHB|75114.5|34|Paris|11|France|FR
445|snyk-bot|75090|29||||
446|rasmith|74875|23||||
447|LiuXiaoxuanPKU|74869|30||||
448|bpedersen2|74836|63|Garching|02|Germany|DE
449|Darren-A11att|74821|3||||
450|csgmnpuxxoercrnlaiddhuxftrlxnvqh|74550|20||||
451|zhangxinyuehfad|74475|10||||
452|kenany|74415.5|18||||
453|sapientpants|73935.5|17||||
454|gerrit-amagno|73922|63||||
455|ViTheAxolotl|73664|36||||
456|Anush008|73427|33||||
457|tuanddd|73418.5|32||||
458|cpacker|73257|16|San Francisco|CA|United States|US
459|HabanaAIUser|73235|9||||
460|chyezh|73016.5|37|Hangzhou|02|China|CN
461|etiennedi|72978|60||||
462|0xThresh|72829|18||||
463|Codewithhaider29|72646.5|14||||
464|zou3519|72620|16||||
465|haohaocreates|72445|6||||
466|anton-l|72191|44|Paris|11|France|FR
467|yannicks1|71713|16||||
468|Cris-0k|71067.5|10||||
469|droberts-ctrlo|70714|31||||
470|javuto|70616|57||||
471|hebiao064|70608.5|21||||
472|TheAlipour|70250|2||||
473|alisonshao|70200.5|5||||
474|iniarfia|69912.5|12||||
475|Juninxz13|69700|2||||
476|Classic298|69691|16|||Austria|AT
477|hiddify1|69510|6||||
478|sungam3r|69460|31||||
479|aliszka|69318|49||||
480|afierka-intel|69155|25|Gdańsk|82|Poland|PL
481|freider|68854|40||||
482|McPatate|68663|53|||France|FR
483|parano|68620.5|56||||
484|mkouba|68137|18||||
485|aimultiple-benchmark|67998|2||||
486|IvanPleshkov|67840|52|Magdeburg|14|Germany|DE
487|soulwhisper|67781.5|38||||
488|davidsbatista|67481|39||||
489|gowthamrao|67462|47||||
490|shen-shanshan|67181.5|19||||
491|3prm3|67145|28||||
492|Martin7-1|67137|33|Hangzhou|02|China|CN
493|DrJKL|67051.5|36|San Jose|CA|United States|US
494|bsorrentino|66865.5|34|||Italy|IT
495|kijai|66846|32||||
496|SalmanMohammadi|66817.5|21|London|ENG|United Kingdom|GB
497|tofarr|66790|20||||
498|luwhano|66657.5|12||||
499|madamczykhabana|66587|17||||
500|bbethell-1|66576|51||||
501|Gumin998|66562.5|11||||
502|ebsmothers|66321|18||||
503|vasqu|66316|26||||
504|wjcunningham7|66044|36||||
505|prmaz7|65650|5||||
506|quentinderoubaix|65628|32||||
507|inawashiro|65545|21||||
508|Chisanan232|65513.5|11|Taipei|04|Taiwan|TW
509|brian2158|65485|7||||
510|rysweet|65463|13||||
511|amanape|64987|23||||
512|jmartisk|64908.5|30||||
513|parkerduckworth|64898|50||||
514|MatthewBonanni|64841|12|Boston|MA|United States|US
515|nprmedia|64840|8||||
516|pathfinder-pf|64730|7||||
517|CyrusZhou-CN|64729|16||||
518|cherubrock-seb|64395|14||||
519|SBrandeis|64332|61|Paris|11|France|FR
520|hiroshiyoka|64192|7||||
521|shadeMe|63915|40||||
522|Kangyan-Zhou|63875|8||||
523|ApostaC|63850|24|||United States|US
524|sunxxuns|63752.5|7||||
525|ThyeeZz|63724.5|58||||
526|kyopark2014|63701|23||||
527|xrey167|63668.5|3||||
528|xiezhq-hermann|63654|25||||
529|WTW0313|63647.5|19|Wuxi|04|China|CN
530|burtenshaw|63491.5|27|Brussels|BRU|Belgium|BE
531|taciturnaxolotl|63382.5|17||||
532|r00ta|63224|19||||
533|trljms3990|63200|1||||
534|ValentaTomas|62819|40||||
535|skhorasganiTT|62815|19||||
536|kyuyeunk|62755|9||||
537|josephydu|62694|14||||
538|mfuntowicz|62658|58||||
539|andrewnguonly|62621.5|27|San Francisco|CA|United States|US
540|tadasant|62619.5|15||||
541|guchenhe|62400.5|27||||
542|markmeliaa|62056|12||||
543|yiz-liu|61875|14||||
544|joein|61780.5|52||||
545|stainless-bot|61780|22||||
546|sunby|61641|60||||
547|jiqing-feng|61535|44||||
548|jawamartus|61463.5|6||||
549|ElsaiDeribu|61326|42|||United States|US
550|yetone|61324.5|53||||
551|cydrain|61315|54||||
552|adobrzyn|61270|13||||
553|muhammadtayyab21|61175|2||||
554|yanxi0830|61146.5|16||||
555|andy-neuma|61130|18||||
556|dsfaccini|60948|13||||
557|dldprma|60765|17||||
558|ctrlmaniac|60724|22||||
559|markmc|60677|16||||
560|zhizi-moyu|60655|2||||
561|gerard-queralt|60604|11||||
562|HavenDV|60221.5|32|Dubai|03|United Arab Emirates|AE
563|leslie2046|60211|33||||
564|dfessahazion|60172|2||||
565|LogicOber|59924.5|16|London|ENG|United Kingdom|GB
566|szuszekiF2|59906|1||||
567|yonigozlan|59868|23||||
568|hyuki875|59615|12||||
569|wolff95|59318|35||||
570|whybeyoung|59276|29||||
571|prma85|59210|58||||
572|ByteLegendBot|59111.5|23||||
573|DefTruth|59082|37|Guangzhou|30|China|CN
